name,path,genome,format,type
h3k27ac,Histone/H3k27ac_hg38.bed,hg38,bed,histone
h3k4me1,Histone/H3K4me1_hg38.bed,hg38,bed,histone
foxa2,ChIP/FOXA2_hg38.bed,hg38,bed,chip
mafb,ChIP/MAFB_hg38.bed,hg38,bed,chip
nkx2_2,ChIP/NKX2_2_hg38.bed,hg38,bed,chip
nxk6_1,ChIP/NKX6_1_hg38.bed,hg38,bed,chip
pdx1,ChIP/PDX1_hg38.bed,hg38,bed,chip
h2az,ChIP/H2AZ_hg38.bed,hg38,bed,chip
fantom,BED_Annotation/Fantom_5.hg38.enhancers.bed,hg38,bed,functional
ucnes,BED_Annotation/UCNEs_hg38.bed,hg38,bed,functional
regulome_active,BED_Annotation/Human_Regulome_hg38_Active_Enhancers.bed,hg38,bed,functional
regulome_super,BED_Annotation/Human_Regulome_hg38_Super_Enhancers.bed,hg38,bed,functional
